Date,Open,High,Low,Close
05/17/2020,"200.21","209.68","199.63","208.06"
05/16/2020,"193.26","203.17","192.89","200.11"
05/15/2020,"202.56","204.45","191.98","193.24"
05/14/2020,"198.37","206.14","196.50","202.56"
05/13/2020,"189.78","199.38","187.14","198.30"
05/12/2020,"186.74","192.42","183.77","189.99"
05/11/2020,"188.59","193.71","176.99","186.65"
05/10/2020,"212.06","212.06","180.97","188.02"
05/09/2020,"214.66","215.23","208.55","212.07"
05/08/2020,"211.71","216.91","207.46","214.66"
05/07/2020,"205.59","214.52","196.99","211.62"
05/06/2020,"205.67","211.16","202.33","205.59"
05/05/2020,"207.93","212.10","202.21","205.40"
05/04/2020,"208.08","211.65","195.15","207.89"
05/03/2020,"214.16","218.92","205.52","207.98"
05/02/2020,"209.77","215.71","209.77","214.15"
05/01/2020,"211.80","217.15","205.41","209.77"
04/30/2020,"217.00","227.22","202.50","211.80"
04/29/2020,"196.58","218.61","195.92","217.00"
04/28/2020,"193.52","198.10","192.59","196.59"
04/27/2020,"197.22","199.20","190.62","193.67"
04/26/2020,"194.00","199.77","191.83","196.86"
04/25/2020,"188.19","198.00","186.06","194.40"
04/24/2020,"189.12","191.00","184.03","187.87"
04/23/2020,"183.00","193.49","178.63","189.12"
04/22/2020,"172.71","184.13","170.09","182.94"
04/21/2020,"172.42","174.62","168.62","172.61"
04/20/2020,"181.60","186.74","167.44","171.70"
04/19/2020,"183.48","189.89","177.11","181.70"
04/18/2020,"170.84","185.17","169.76","183.47"
04/17/2020,"172.50","174.94","168.71","170.84"
04/16/2020,"157.77","174.14","148.49","172.50"
04/15/2020,"159.26","161.47","155.53","157.77"
04/14/2020,"157.70","162.06","155.69","159.28"
04/13/2020,"164.06","164.57","150.20","156.73"
04/12/2020,"154.79","165.40","154.50","163.91"
04/11/2020,"159.40","161.53","154.22","154.72"
04/10/2020,"170.29","171.14","152.85","159.09"
04/09/2020,"172.18","173.86","165.77","170.73"
04/08/2020,"163.00","174.50","162.71","172.12"
04/07/2020,"164.00","176.29","162.81","163.62"
04/06/2020,"142.38","167.36","142.02","164.09"
04/05/2020,"144.06","145.96","141.17","142.49"
04/04/2020,"140.75","146.56","139.17","143.70"
04/03/2020,"140.59","146.83","137.97","140.69"
04/02/2020,"132.33","150.00","131.92","140.95"
04/01/2020,"134.68","135.19","129.08","132.33"
03/31/2020,"134.04","135.35","130.35","134.68"
03/30/2020,"125.65","134.93","124.02","134.04"
03/29/2020,"131.02","132.64","124.01","125.59"
03/28/2020,"137.65","137.76","125.13","131.17"
03/27/2020,"136.78","141.82","134.75","137.43"
03/26/2020,"135.38","138.85","133.72","136.79"
03/25/2020,"139.89","142.76","133.48","135.45"
03/24/2020,"132.30","144.07","131.30","139.86"
03/23/2020,"124.27","137.66","120.65","132.20"
03/22/2020,"135.34","137.67","121.87","124.20"
03/21/2020,"125.36","137.99","124.77","135.46"
03/20/2020,"137.25","152.54","116.30","125.21"
03/19/2020,"116.47","140.51","115.35","137.25"
03/18/2020,"119.53","120.22","110.39","116.41"
03/17/2020,"109.35","121.09","107.38","119.22"
