Date,Open,High,Low,Close,Volume
01/11/2022,"465.23","469.85","462.05","469.75","74,303,055"
01/10/2022,"462.70","465.74","456.60","465.51","119,362,000"
01/07/2022,"467.95","469.20","464.65","466.09","85,111,594"
01/06/2022,"467.89","470.82","465.43","467.94","86,858,898"
01/05/2022,"477.16","477.98","468.28","468.38","104,538,898"
01/04/2022,"479.22","479.98","475.58","477.55","71,178,680"
01/03/2022,"476.30","477.85","473.85","477.71","72,668,234"
12/31/2021,"475.64","476.86","474.67","474.96","65,237,434"
12/30/2021,"477.93","479.00","475.67","476.16","55,329,039"
12/29/2021,"476.98","478.56","475.92","477.48","54,502,961"
12/28/2021,"477.72","478.81","476.06","476.87","47,274,594"
12/27/2021,"472.06","477.31","472.01","477.26","56,808,621"
12/23/2021,"468.75","472.19","468.64","470.60","56,439,754"
12/22/2021,"462.79","467.81","462.58","467.69","58,890,219"
12/21/2021,"458.61","463.21","456.31","463.06","69,806,258"
12/20/2021,"454.48","455.40","451.14","454.98","107,134,797"
12/17/2021,"461.55","464.74","458.06","459.87","135,636,500"
12/16/2021,"472.57","472.87","464.80","466.45","116,568,602"
12/15/2021,"463.42","470.86","460.74","470.60","116,899,297"
12/14/2021,"463.09","465.74","460.25","463.36","97,264,125"
12/13/2021,"470.19","470.56","466.27","466.57","87,724,680"
12/10/2021,"469.23","470.90","466.51","470.74","77,159,758"
12/09/2021,"468.15","469.63","466.14","466.35","61,272,566"
12/08/2021,"468.70","470.00","466.83","469.52","72,238,781"
12/07/2021,"464.41","468.88","458.65","468.28","95,484,688"
12/06/2021,"456.13","460.79","453.56","458.79","98,977,531"
12/03/2021,"459.17","460.30","448.92","453.42","137,331,594"
12/02/2021,"450.73","459.07","450.31","457.40","127,637,797"
12/01/2021,"461.64","464.67","450.29","450.50","132,485,797"
11/30/2021,"462.00","464.03","455.30","455.56","148,559,594"
11/29/2021,"464.07","466.56","461.73","464.60","86,268,812"
11/26/2021,"462.34","463.90","457.77","458.97","112,669,602"
11/24/2021,"466.06","469.57","465.19","469.44","61,858,809"
11/23/2021,"467.22","469.10","464.45","468.19","73,206,547"
11/22/2021,"470.89","473.54","467.35","467.57","72,761,953"
11/19/2021,"469.61","470.94","468.50","468.89","57,315,566"
11/18/2021,"469.24","470.01","466.34","469.73","50,625,609"
11/17/2021,"469.00","469.19","467.48","468.14","47,858,289"
11/16/2021,"467.15","470.49","467.07","469.28","48,857,500"
11/15/2021,"468.64","468.81","466.23","467.43","46,980,500"
11/12/2021,"465.12","467.86","464.11","467.27","53,466,648"
11/11/2021,"465.21","465.29","463.75","463.77","34,848,500"
11/10/2021,"465.58","467.38","462.04","463.62","69,429,648"
11/09/2021,"469.32","469.57","465.88","467.38","51,149,152"
11/08/2021,"469.70","470.23","468.20","468.93","50,405,191"
11/05/2021,"469.28","470.65","466.92","468.53","66,390,562"
11/04/2021,"465.36","467.00","464.99","466.91","52,847,090"
11/03/2021,"461.30","465.15","460.83","464.72","52,509,832"
11/02/2021,"460.22","462.23","460.08","461.90","48,908,422"
11/01/2021,"460.30","460.70","458.20","460.04","48,433,641"
10/29/2021,"455.87","459.56","455.56","459.25","70,162,414"
10/28/2021,"455.46","458.40","455.45","458.32","51,437,941"
10/27/2021,"456.45","457.16","453.86","453.94","72,438,000"
10/26/2021,"457.20","458.49","455.56","455.96","56,075,121"
10/25/2021,"454.28","455.90","452.39","455.55","45,214,512"
10/22/2021,"453.13","454.67","451.05","453.12","58,845,090"
10/21/2021,"451.77","453.83","451.31","453.59","41,305,441"
10/20/2021,"451.13","452.73","451.01","452.41","49,571,566"
10/19/2021,"448.92","450.71","448.27","450.64","46,996,832"
10/18/2021,"443.97","447.55","443.27","447.19","62,213,230"
10/15/2021,"444.75","446.26","444.09","445.87","66,260,211"
10/14/2021,"439.08","442.66","438.58","442.50","70,236,828"
10/13/2021,"434.71","436.05","431.54","435.18","72,973,984"
10/12/2021,"435.67","436.10","432.78","433.62","71,181,156"
10/11/2021,"437.16","440.26","434.62","434.69","65,233,289"
10/08/2021,"439.48","439.89","437.19","437.86","74,557,398"
10/07/2021,"438.39","441.68","438.20","438.66","72,437,508"
10/06/2021,"429.27","435.12","427.54","434.90","113,032,203"
10/05/2021,"430.24","435.49","429.39","433.10","90,682,523"
10/04/2021,"433.00","433.96","426.36","428.64","128,570,000"
10/01/2021,"430.98","436.03","427.23","434.24","129,240,094"
09/30/2021,"436.02","436.77","428.78","429.14","140,506,000"
09/29/2021,"435.19","437.04","433.85","434.45","82,329,211"
09/28/2021,"439.69","440.04","432.94","433.72","130,436,305"
09/27/2021,"442.81","444.05","441.90","442.64","61,371,113"
09/24/2021,"441.44","444.67","441.21","443.91","62,094,840"
09/23/2021,"439.85","444.89","439.60","443.18","76,395,984"
09/22/2021,"436.05","440.03","433.75","437.86","102,350,094"
09/21/2021,"436.53","437.91","433.07","433.63","92,526,109"
09/20/2021,"434.88","436.56","428.86","434.04","166,445,500"
09/17/2021,"444.92","445.37","441.02","441.40","118,425,000"
09/16/2021,"447.32","448.36","444.02","447.17","77,786,734"
09/15/2021,"444.62","448.41","443.44","447.88","78,792,227"
09/14/2021,"448.12","448.34","443.22","444.17","78,197,133"
09/13/2021,"448.64","448.92","444.11","446.58","83,738,648"
09/10/2021,"451.04","451.49","445.31","445.44","89,948,172"
09/09/2021,"450.70","452.57","448.72","448.98","57,970,406"
